oscreader@OSC:project_2_part_2$ ps -eLf
UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
oscread+  1214  1087  1214  0    5 13:25 ?        00:00:00 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
oscread+  1214  1087  1224  0    5 13:25 ?        00:00:00 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
oscread+  1214  1087  1225  0    5 13:25 ?        00:00:00 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
oscread+  1214  1087  1227  0    5 13:25 ?        00:00:00 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
oscread+  1214  1087  1234  0    5 13:25 ?        00:00:01 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
oscread+  1229     1  1229  0    3 13:25 ?        00:00:00 /usr/bin/pulseaudio --start
oscread+  1229     1  1243  0    3 13:25 ?        00:00:00 /usr/bin/pulseaudio --start
oscread+  1229     1  1244  0    3 13:25 ?        00:00:00 /usr/bin/pulseaudio --start
oscread+  1231     1  1231  0    2 13:25 ?        00:00:00 /usr/lib/gvfs/gvfsd
oscread+  1231     1  1232  0    2 13:25 ?        00:00:00 /usr/lib/gvfs/gvfsd
oscread+  1236     1  1236  0    5 13:25 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_wri
oscread+  1236     1  1239  0    5 13:25 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_wri
oscread+  1236     1  1240  0    5 13:25 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_wri
oscread+  1236     1  1241  0    5 13:25 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_wri
oscread+  1236     1  1242  0    5 13:25 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_wri
oscread+  1248     1  1248  0    3 13:25 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
oscread+  1248     1  1252  0    3 13:25 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
oscread+  1248     1  1259  0    3 13:25 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
oscread+  1250     1  1250  0    1 13:25 ?        00:00:00 /bin/sh /usr/bin/start-pulseaudio-x11
oscread+  1251  1250  1251  0    1 13:25 ?        00:00:00 /usr/bin/xprop -root -spy
root      1253     1  1253  0    5 13:25 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
root      1253     1  1254  0    5 13:25 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
root      1253     1  1256  0    5 13:25 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
root      1253     1  1257  0    5 13:25 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
root      1253     1  1258  0    5 13:25 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
oscread+  1262     1  1262  0    2 13:25 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
oscread+  1262     1  1263  0    2 13:25 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
oscread+  1265     1  1265  0    4 13:25 ?        00:00:00 /usr/lib/gnome-online-accounts/goa-daemon
oscread+  1265     1  1266  0    4 13:25 ?        00:00:00 /usr/lib/gnome-online-accounts/goa-daemon
oscread+  1265     1  1268  0    4 13:25 ?        00:00:00 /usr/lib/gnome-online-accounts/goa-daemon
oscread+  1265     1  1272  0    4 13:25 ?        00:00:00 /usr/lib/gnome-online-accounts/goa-daemon
oscread+  1274     1  1274  0    3 13:25 ?        00:00:00 /usr/lib/telepathy/mission-control-5
oscread+  1274     1  1281  0    3 13:25 ?        00:00:00 /usr/lib/telepathy/mission-control-5
oscread+  1274     1  1282  0    3 13:25 ?        00:00:00 /usr/lib/telepathy/mission-control-5
oscread+  1275     1  1275  0    2 13:25 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
oscread+  1275     1  1277  0    2 13:25 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
oscread+  1280     1  1280  0    2 13:25 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
oscread+  1280     1  1284  0    2 13:25 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
oscread+  1286     1  1286  0    3 13:25 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
oscread+  1286     1  1287  0    3 13:25 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
oscread+  1286     1  1289  0    3 13:25 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
oscread+  1290  1087  1290  0    7 13:25 ?        00:00:09 /usr/bin/gnome-shell
oscread+  1290  1087  1295  0    7 13:25 ?        00:00:00 /usr/bin/gnome-shell
oscread+  1290  1087  1300  0    7 13:25 ?        00:00:00 /usr/bin/gnome-shell
oscread+  1290  1087  1304  0    7 13:25 ?        00:00:00 /usr/bin/gnome-shell
oscread+  1290  1087  1305  0    7 13:25 ?        00:00:00 /usr/bin/gnome-shell
oscread+  1290  1087  1306  0    7 13:25 ?        00:00:00 /usr/bin/gnome-shell
oscread+  1290  1087  1307  0    7 13:25 ?        00:00:00 /usr/bin/gnome-shell
oscread+  1294     1  1294  0    2 13:25 ?        00:00:00 /usr/lib/gnome-settings-daemon/gsd-printer
oscread+  1294     1  1296  0    2 13:25 ?        00:00:00 /usr/lib/gnome-settings-daemon/gsd-printer
oscread+  1313     1  1313  0    5 13:25 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
oscread+  1313     1  1315  0    5 13:25 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
oscread+  1313     1  1325  0    5 13:25 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
oscread+  1313     1  1326  0    5 13:25 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
oscread+  1313     1  1436  0    5 13:25 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
oscread+  1317     1  1317  0    3 13:25 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
oscread+  1317     1  1318  0    3 13:25 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
oscread+  1317     1  1322  0    3 13:25 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
oscread+  1330  1087  1330  0    5 13:25 ?        00:00:00 /usr/lib/evolution/3.12/evolution-alarm-notify
oscread+  1330  1087  1433  0    5 13:25 ?        00:00:00 /usr/lib/evolution/3.12/evolution-alarm-notify
oscread+  1330  1087  1443  0    5 13:25 ?        00:00:00 /usr/lib/evolution/3.12/evolution-alarm-notify
oscread+  1330  1087  1444  0    5 13:25 ?        00:00:00 /usr/lib/evolution/3.12/evolution-alarm-notify
oscread+  1330  1087  1446  0    5 13:25 ?        00:00:00 /usr/lib/evolution/3.12/evolution-alarm-notify
oscread+  1331  1087  1331  0    3 13:25 ?        00:00:00 nm-applet
oscread+  1331  1087  1349  0    3 13:25 ?        00:00:00 nm-applet
oscread+  1331  1087  1395  0    3 13:25 ?        00:00:00 nm-applet
oscread+  1333  1087  1333  0    3 13:25 ?        00:00:00 /usr/lib/tracker/tracker-miner-user-guides
oscread+  1333  1087  1415  0    3 13:25 ?        00:00:00 /usr/lib/tracker/tracker-miner-user-guides
oscread+  1333  1087  1532  0    3 13:25 ?        00:00:00 /usr/lib/tracker/tracker-miner-user-guides
oscread+  1339     1  1339  0    1 13:25 ?        00:00:00 /usr/bin/VBoxClient --clipboard
oscread+  1343  1087  1343  0    4 13:25 ?        00:00:00 nautilus -n
oscread+  1343  1087  1425  0    4 13:25 ?        00:00:00 nautilus -n
oscread+  1343  1087  1435  0    4 13:25 ?        00:00:00 nautilus -n
oscread+  1343  1087  1445  0    4 13:25 ?        00:00:00 nautilus -n
oscread+  1350     1  1350  0    8 13:25 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1350     1  1410  0    8 13:25 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1350     1  1411  0    8 13:25 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1350     1  1412  0    8 13:25 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1350     1  1428  0    8 13:25 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1350     1  1429  0    8 13:25 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1350     1  1430  0    8 13:25 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1350     1  1431  0    8 13:25 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1354  1087  1354  0   14 13:25 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1354  1087  1417  0   14 13:25 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1354  1087  1418  0   14 13:25 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1354  1087  1420  0   14 13:25 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1354  1087  1506  0   14 13:25 ?        00:00:00 /usr/lib/tracker/tracker-extract
